accelX,accelY,accelZ,gyroX,gyroY,gyroZ,label
-1.4197,-1.6958,1.407,-67.1997,-50.415,-399.5361,swipe_h
-1.4197,-1.6958,1.407,-67.1997,-50.415,-399.5361,swipe_h
-0.3318,1.1719,0.9841,-26.1841,-6.2256,-245.5444,swipe_h
-0.0002,0.7717,0.7821,1.4038,-7.6904,-15.564,swipe_h
0.1842,0.2986,0.9927,-5.8594,10.0708,33.8135,swipe_h
0.2644,0.1289,0.9824,-7.6904,-5.9204,31.6162,swipe_h
0.2963,0.0851,0.9561,-4.3335,-3.2349,20.6299,swipe_h
0.2842,0.1116,0.9412,8.5449,-2.8687,-4.8218,swipe_h
-0.0178,0.9105,0.8866,25.7568,22.1558,-33.2031,swipe_h
-1.0272,1.4742,0.7828,-7.2021,39.978,258.8501,swipe_h
-1.0272,1.4742,0.7828,-7.2021,39.978,258.8501,swipe_h
-0.2767,-1.464,0.6519,14.4653,-16.2964,295.6543,swipe_h
-0.1158,-0.4792,1.1305,24.5972,26.8555,-33.5693,swipe_h
0.0476,-0.1006,0.953,37.2925,-22.2778,-88.562,swipe_h
0.05,-0.0553,1.017,-8.728,-8.9111,-27.5879,swipe_h
0.0411,-0.1742,0.9564,-51.1475,-14.7705,5.6763,swipe_h
0.1643,-0.3292,0.9672,-5.8594,-15.2588,12.3291,swipe_h
0.2704,-0.1082,0.9939,59.2041,5.0659,-22.8271,swipe_v
0.3457,-0.0808,0.9816,1.0986,11.3525,14.6484,swipe_v
0.1132,-0.1578,0.916,35.2783,48.4009,44.6167,swipe_v
-0.1963,-0.3223,0.9854,-4.8218,152.2827,45.8984,swipe_v
-0.897,-1.6025,2.9685,-211.3647,18.9209,-271.9727,swipe_v
-0.897,-1.6025,2.9685,-211.3647,18.9209,-271.9727,swipe_v
0.5948,-0.1345,-0.3959,34.3018,-58.8379,49.0723,swipe_v
0.7688,-0.5549,0.0028,34.0576,44.0674,53.1006,swipe_v
1.0027,-0.3922,0.3777,27.3437,57.312,-9.6436,swipe_v
0.9056,-0.3933,0.3834,11.1694,15.564,15.625,swipe_v
0.6327,-0.5439,0.6853,4.4556,1.2207,3.479,swipe_v
0.7046,-0.6322,0.6862,-16.2354,-44.0674,-50.293,swipe_v
0.6865,-0.2684,0.3562,-9.8267,-57.6172,-99.4873,swipe_v
-0.4722,0.7063,-0.3766,-6.7139,218.2007,221.3135,swipe_v
-1.63,-1.0223,1.9152,138.1836,437.7441,506.8969,swipe_v
-1.63,-1.0223,1.9152,138.1836,437.7441,506.8969,swipe_v
-0.6296,-0.0696,0.6047,13.0615,-54.1992,-16.6626,swipe_v
-0.6206,-0.0421,0.8739,-29.3579,7.6904,-2.5024,swipe_v
-0.5386,-0.1564,0.7908,-27.2827,-86.792,-53.772,swipe_v
-0.4812,-0.1282,0.7794,-15.8691,-67.0776,-41.8701,swipe_v
-0.173,-0.2284,0.9839,18.7378,24.7192,61.5234,swipe_v
-0.2242,-0.157,1.0054,28.3813,6.5918,21.9116,swipe_v
-0.3589,-0.0604,0.8826,50.1099,9.2163,29.9072,swipe_v
-0.6997,-0.4773,1.0146,-94.3603,194.1528,5.6152,swipe_v
-0.9663,-0.9222,2.1594,-178.5278,2.0752,-305.0537,swipe_v
-0.9663,-0.9222,2.1594,-178.5278,2.0752,-305.0537,swipe_v
0.6583,-0.1266,-0.1094,-9.9487,-90.5151,-58.5937,swipe_v
0.7201,-0.4231,0.1355,0.061,-40.1611,12.2681,swipe_v
0.8175,-0.5997,0.1394,48.2788,-28.1982,16.1743,swipe_v
0.7295,-0.5187,0.0979,-11.6577,10.8643,4.1504,swipe_v
0.5398,-0.1721,0.2667,40.9546,30.1514,52.4292,swipe_v
0.2336,-0.616,0.8043,106.6284,96.7407,186.5234,swipe_v
-0.0725,-0.6881,0.8427,90.0268,62.9883,162.1094,swipe_v
-0.4279,-0.7653,0.9854,59.8755,96.0083,116.5771,swipe_v
-0.708,-2.0463,1.5315,-36.2549,89.2944,-27.4048,swipe_v
-0.708,-2.0463,1.5315,-36.2549,89.2944,-27.4048,swipe_v
0.3181,0.882,-0.3947,1.77,-169.0063,-195.2514,swipe_v
0.6595,-0.2509,-0.2128,33.2031,-2.8076,70.8618,swipe_v
0.9386,-0.7542,0.0049,17.5171,32.1045,76.7822,swipe_v
0.9288,-0.3873,0.3468,34.0576,26.4893,-6.2866,swipe_v
0.1772,-0.6581,0.7814,44.3115,73.1201,111.145,swipe_v
-0.0455,-0.62,0.8552,61.4014,69.397,103.0884,swipe_v
-0.338,-0.5197,0.8486,57.9834,81.1157,104.4311,swipe_v
-0.6099,-0.8896,1.1122,-6.4697,81.604,37.6587,swipe_v
-1.2343,-2.0094,2.3119,-112.793,-90.271,-318.7866,swipe_v
-1.2343,-2.0094,2.3119,-112.793,-90.271,-318.7866,swipe_v
0.6388,0.1877,-0.2177,13.7939,-35.1563,63.5986,swipe_v
0.7411,-0.4708,0.0728,15.8691,32.3486,127.6855,swipe_v
0.8529,-0.5792,0.4583,15.564,65.7349,40.8936,swipe_v
0.7361,-0.5482,0.516,-4.1504,37.3535,11.4746,swipe_v
0.1731,-1.0402,1.0952,-91.2476,-20.4468,-104.6143,swipe_v
0.3416,-0.2642,0.464,-83.374,-54.6875,-185.4248,swipe_v
0.2522,0.8966,-0.2162,-16.7847,43.7622,14.8315,swipe_v
-1.314,0.4828,0.7252,132.0801,251.0986,454.834,swipe_v
-0.9818,-0.7214,1.5101,192.1387,34.1797,249.2065,swipe_v
-0.9818,-0.7214,1.5101,192.1387,34.1797,249.2065,swipe_v
-0.5283,0.0234,0.9042,-27.8931,3.479,4.1504,swipe_v
-0.4681,0.0382,0.839,-38.6353,17.4561,2.1973,swipe_v
-0.5033,-0.0227,0.8492,-26.8555,-6.1035,-5.9204,swipe_v
-0.4745,-0.0851,0.8639,-4.6387,-9.0942,-11.7798,swipe_v
0.4744,-0.5038,0.6664,-47.6074,-69.1528,-124.5117,swipe_v
0.5587,-0.4034,0.4747,-62.6221,-74.0967,-121.1548,swipe_v
0.6096,-0.0931,0.3057,-41.8701,-31.4331,-79.5898,swipe_v
-0.1316,0.5217,0.1603,2.1973,88.9282,170.7764,swipe_v
-1.1082,-1.2029,1.5071,108.3984,239.2578,565.4907,swipe_v
-1.1082,-1.2029,1.5071,108.3984,239.2578,565.4907,swipe_v
-0.6211,-0.2843,0.8052,32.4097,-40.4663,-23.7427,swipe_v
-0.4424,-0.1261,0.848,-15.1978,5.9814,10.0098,swipe_v
-0.5244,-0.1444,0.8267,-8.1787,8.9111,10.437,swipe_v
-0.5242,-0.1558,0.8225,1.77,-7.8125,-3.54,swipe_v
0.5861,-0.7103,0.5714,-31.3721,-39.5508,-65.4907,swipe_v
0.6644,-0.5161,0.3959,-40.7715,-39.7949,-75.5615,swipe_v
0.6611,-0.3732,0.2218,-33.7524,-9.1553,-43.2739,swipe_v
0.1985,0.5806,0.0311,0.1831,50.354,86.7309,swipe_v
-2.0533,-0.4855,1.2539,168.3349,245.3613,681.7626,swipe_v
-2.0533,-0.4855,1.2539,168.3349,245.3613,681.7626,swipe_v
-0.6924,-0.1113,0.6322,29.6631,-54.2603,-36.6821,swipe_v
-0.6541,-0.0857,0.7991,13.4277,-7.2632,-7.3242,swipe_v
-0.6234,-0.0867,0.7655,-6.3477,-7.6904,2.3804,swipe_v
-0.6036,-0.2473,0.83,-3.418,-24.6582,-35.1563,swipe_v
